2021-08-24 08:26:59 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-24 08:27:01 INFO  LaunchBrowser:17 - test started
2021-08-24 08:27:05 INFO  LocationSelection:19 - inside find location
2021-08-24 08:27:05 INFO  LocationSelection:23 - inside find location[[ChromeDriver: chrome on WINDOWS (675ba18f9b8166a0f7e2461e6d5a3d2a)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:27:05 INFO  LocationSelection:23 - inside find location[[ChromeDriver: chrome on WINDOWS (675ba18f9b8166a0f7e2461e6d5a3d2a)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:27:05 INFO  LocationSelection:23 - inside find location[[ChromeDriver: chrome on WINDOWS (675ba18f9b8166a0f7e2461e6d5a3d2a)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:27:05 INFO  LocationSelection:23 - inside find location[[ChromeDriver: chrome on WINDOWS (675ba18f9b8166a0f7e2461e6d5a3d2a)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:27:05 INFO  LocationSelection:23 - inside find location[[ChromeDriver: chrome on WINDOWS (675ba18f9b8166a0f7e2461e6d5a3d2a)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:27:05 INFO  LocationSelection:19 - inside find location
2021-08-24 08:27:05 INFO  LocationSelection:23 - inside find location[[ChromeDriver: chrome on WINDOWS (675ba18f9b8166a0f7e2461e6d5a3d2a)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:27:05 INFO  LocationSelection:23 - inside find location[[ChromeDriver: chrome on WINDOWS (675ba18f9b8166a0f7e2461e6d5a3d2a)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:27:05 INFO  LocationSelection:23 - inside find location[[ChromeDriver: chrome on WINDOWS (675ba18f9b8166a0f7e2461e6d5a3d2a)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:27:05 INFO  LocationSelection:23 - inside find location[[ChromeDriver: chrome on WINDOWS (675ba18f9b8166a0f7e2461e6d5a3d2a)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:27:05 INFO  LocationSelection:23 - inside find location[[ChromeDriver: chrome on WINDOWS (675ba18f9b8166a0f7e2461e6d5a3d2a)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:28:50 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-24 08:28:51 INFO  LaunchBrowser:17 - test started
2021-08-24 08:28:56 INFO  LocationSelection:20 - inside find location
2021-08-24 08:28:56 INFO  LocationSelection:24 - inside find location[[ChromeDriver: chrome on WINDOWS (db92001e62a5a51661853781c0e42c3c)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:28:56 INFO  LocationSelection:24 - inside find location[[ChromeDriver: chrome on WINDOWS (db92001e62a5a51661853781c0e42c3c)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:28:56 INFO  LocationSelection:24 - inside find location[[ChromeDriver: chrome on WINDOWS (db92001e62a5a51661853781c0e42c3c)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:28:56 INFO  LocationSelection:24 - inside find location[[ChromeDriver: chrome on WINDOWS (db92001e62a5a51661853781c0e42c3c)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:28:56 INFO  LocationSelection:24 - inside find location[[ChromeDriver: chrome on WINDOWS (db92001e62a5a51661853781c0e42c3c)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:28:56 INFO  LocationSelection:20 - inside find location
2021-08-24 08:29:42 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-24 08:29:43 INFO  LaunchBrowser:17 - test started
2021-08-24 08:29:45 INFO  LocationSelection:20 - inside find location
2021-08-24 08:29:46 INFO  LocationSelection:24 - inside find location[[ChromeDriver: chrome on WINDOWS (04fc2ee225b299cb29593a81f20e5871)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:29:46 INFO  LocationSelection:24 - inside find location[[ChromeDriver: chrome on WINDOWS (04fc2ee225b299cb29593a81f20e5871)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:29:46 INFO  LocationSelection:24 - inside find location[[ChromeDriver: chrome on WINDOWS (04fc2ee225b299cb29593a81f20e5871)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:29:46 INFO  LocationSelection:24 - inside find location[[ChromeDriver: chrome on WINDOWS (04fc2ee225b299cb29593a81f20e5871)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:29:46 INFO  LocationSelection:24 - inside find location[[ChromeDriver: chrome on WINDOWS (04fc2ee225b299cb29593a81f20e5871)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:29:46 INFO  LocationSelection:20 - inside find location
2021-08-24 08:31:59 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-24 08:32:01 INFO  LaunchBrowser:17 - test started
2021-08-24 08:32:05 INFO  LocationSelection:20 - inside find location
2021-08-24 08:32:05 INFO  LocationSelection:24 - inside find location[[ChromeDriver: chrome on WINDOWS (e9b25427dbd4d4353d1b1071064baa04)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:32:05 INFO  LocationSelection:24 - inside find location[[ChromeDriver: chrome on WINDOWS (e9b25427dbd4d4353d1b1071064baa04)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:32:05 INFO  LocationSelection:24 - inside find location[[ChromeDriver: chrome on WINDOWS (e9b25427dbd4d4353d1b1071064baa04)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:32:05 INFO  LocationSelection:24 - inside find location[[ChromeDriver: chrome on WINDOWS (e9b25427dbd4d4353d1b1071064baa04)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:32:05 INFO  LocationSelection:24 - inside find location[[ChromeDriver: chrome on WINDOWS (e9b25427dbd4d4353d1b1071064baa04)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:32:05 INFO  LocationSelection:20 - inside find location
2021-08-24 08:32:05 INFO  LocationSelection:24 - inside find location[[ChromeDriver: chrome on WINDOWS (e9b25427dbd4d4353d1b1071064baa04)] -> xpath: //div[@class='global-country-list']//div[contains(@style,'block')][2]/div/div/a]
2021-08-24 08:32:05 INFO  LocationSelection:24 - inside find location[[ChromeDriver: chrome on WINDOWS (e9b25427dbd4d4353d1b1071064baa04)] -> xpath: //div[@class='global-country-list']//div[contains(@style,'block')][2]/div/div/a]
2021-08-24 08:33:14 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-24 08:33:16 INFO  LaunchBrowser:17 - test started
2021-08-24 08:33:18 INFO  LocationSelection:20 - inside find location
2021-08-24 08:33:18 INFO  LocationSelection:24 - inside find locationAfrica & Middle East
2021-08-24 08:33:18 INFO  LocationSelection:24 - inside find location
2021-08-24 08:33:18 INFO  LocationSelection:24 - inside find location
2021-08-24 08:33:18 INFO  LocationSelection:24 - inside find location
2021-08-24 08:33:19 INFO  LocationSelection:24 - inside find location
2021-08-24 08:33:19 INFO  LocationSelection:20 - inside find location
2021-08-24 08:33:19 INFO  LocationSelection:24 - inside find locationTurkey
2021-08-24 08:33:19 INFO  LocationSelection:24 - inside find locationSouth Africa
2021-08-24 08:35:01 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-24 08:35:02 INFO  LaunchBrowser:17 - test started
2021-08-24 08:35:06 INFO  LocationSelection:21 - inside find location
2021-08-24 08:35:06 INFO  LocationSelection:25 - inside find locationAfrica & Middle East
2021-08-24 08:35:06 INFO  LocationSelection:25 - inside find location
2021-08-24 08:35:06 INFO  LocationSelection:25 - inside find location
2021-08-24 08:35:06 INFO  LocationSelection:25 - inside find location
